title,company,text,label
Survey Taker – Earn $$$,,"Work from home, be your own boss, achieve financial freedom! Congratulations! You have been selected for this exclusive opportunity! Make money fast – earn $5000/week from home!!! GUARANTEED INCOME – ACT NOW before positions fill up! Weekly salary paid via crypto – provide your Bitcoin wallet. This is a limited time offer – APPLY NOW! Salary: $200k+ guaranteed.",1
Social Media Evaluator $$,,"Send your resume via WhatsApp to +1-555-0199. Easy money – reshipping packages from our warehouse. Salary: EARN $10,000 MONTHLY.",1
Nurse,Acme Inc.,"We offer flexible work arrangements, PTO, and professional development stipends. As a Nurse you will collaborate with cross-functional teams to deliver high-quality products. We are looking for a motivated Nurse to join our growing team in Seattle, WA. Acme Inc. is hiring a Nurse. Minimum 3 years of experience required. Responsibilities include designing, developing, and maintaining scalable systems. Salary: $65,000 - $85,000/year.",0
Machine Learning Engineer,Vanguard Solutions,"We offer flexible work arrangements, PTO, and professional development stipends. We are looking for a motivated Machine Learning Engineer to join our growing team in Denver, CO. Responsibilities include designing, developing, and maintaining scalable systems. Requirements: bachelor's degree in a related field, strong leadership skills. Salary: $90,000 - $130,000 per year.",0
Work From Home – No Interview,TrustWork Group,Make money fast – earn $5000/week from home!!! Click here to apply: http://j0bs-apply.xyz/start Salary: $200k+ guaranteed.,1
Crypto Trading Assistant,AlphaPayments,"Multi level marketing opportunity – build your downline! Send your resume via WhatsApp to +1-555-0199. We require a small registration fee of $49.99 to process your application. GUARANTEED INCOME – ACT NOW before positions fill up! Congratulations! You have been selected for this exclusive opportunity! Salary: $5,000/week.",1
Machine Learning Engineer,Vanguard Solutions,"We offer flexible work arrangements, PTO, and professional development stipends. Requirements: bachelor's degree in a related field, strong project management skills. Vanguard Solutions is hiring a Machine Learning Engineer. Minimum 3 years of experience required. As a Machine Learning Engineer you will collaborate with cross-functional teams to deliver high-quality products. You will report to the VP of Engineering and lead a team of 5. Salary: $70K – $110K annually.",0
Financial Freedom Coach,HomeBiz Pro,Contact our hiring manager on Telegram @quickhire. Send your resume via WhatsApp to +1-555-0199. Salary: $800/day.,1
Social Media Evaluator $$,,URGENT HIRING – We need 50 people TODAY! Earn $100 per day doing simple online surveys!!! Click here to apply: http://j0bs-apply.xyz/start Make money fast – earn $5000/week from home!!! Salary: $200k+ guaranteed.,1
Admin Assistant – Immediate Start,Global Innovations LLC,Easy money – reshipping packages from our warehouse. Contact our hiring manager on Telegram @quickhire. Make money fast – earn $5000/week from home!!! Use your personal bank account to receive and forward payments. Weekly salary paid via crypto – provide your Bitcoin wallet. Training fee: $99 – fully refundable after first paycheck. Salary: $800/day.,1
Software Engineer,NovaBridge Corp.,"We offer flexible work arrangements, PTO, and professional development stipends. NovaBridge Corp. is hiring a Software Engineer. Minimum 3 years of experience required. Salary: $45/hour.",0
Immediate Hire – Data Entry,Global Innovations LLC,"Binary option trading assistant – earn commission on every trade! Visit http://amazn-careers.tk/apply to get started This is a limited time offer – APPLY NOW! Salary: EARN $10,000 MONTHLY.",1
Financial Freedom Coach,,Easy money – reshipping packages from our warehouse. Make money fast – earn $5000/week from home!!! URGENT HIRING – We need 50 people TODAY! Training fee: $99 – fully refundable after first paycheck. Click here to apply: http://j0bs-apply.xyz/start Salary: $800/day.,1
Crypto Trading Assistant,,"Weekly salary paid via crypto – provide your Bitcoin wallet. Training fee: $99 – fully refundable after first paycheck. Click here to apply: http://j0bs-apply.xyz/start This is a limited time offer – APPLY NOW! Contact our hiring manager on Telegram @quickhire. Multi level marketing opportunity – build your downline! Salary: $5,000/week.",1
Product Manager,Skyline Technologies,"Skyline Technologies is hiring a Product Manager. Minimum 3 years of experience required. As a Product Manager you will collaborate with cross-functional teams to deliver high-quality products. You will report to the VP of Engineering and lead a team of 5. Responsibilities include designing, developing, and maintaining scalable systems. Salary: Competitive salary based on experience.",0
Product Manager,GreenLeaf Partners,"We offer flexible work arrangements, PTO, and professional development stipends. Responsibilities include designing, developing, and maintaining scalable systems. Competitive salary and comprehensive benefits package including 401(k) and health insurance.",0
Operations Manager,TechNova Ltd.,"Responsibilities include designing, developing, and maintaining scalable systems. You will report to the VP of Engineering and lead a team of 5. As a Operations Manager you will collaborate with cross-functional teams to deliver high-quality products. We are looking for a motivated Operations Manager to join our growing team in Toronto, Canada. Salary: Competitive salary based on experience.",0
QA Engineer,NovaBridge Corp.,"As a QA Engineer you will collaborate with cross-functional teams to deliver high-quality products. We offer flexible work arrangements, PTO, and professional development stipends. Competitive salary and comprehensive benefits package including 401(k) and health insurance. Salary: $45/hour.",0
Marketing Coordinator,BlueWave Systems,"Responsibilities include designing, developing, and maintaining scalable systems. You will report to the VP of Engineering and lead a team of 5. As a Marketing Coordinator you will collaborate with cross-functional teams to deliver high-quality products. Salary: $65,000 - $85,000/year.",0
Make $5000/Week – No Experience,EliteCommission Corp.,This is a limited time offer – APPLY NOW! We require a small registration fee of $49.99 to process your application. Salary: $800/day.,1
Immediate Hire – Data Entry,,"Binary option trading assistant – earn commission on every trade! We require a small registration fee of $49.99 to process your application. Salary: EARN $10,000 MONTHLY.",1
QA Engineer,Skyline Technologies,"As a QA Engineer you will collaborate with cross-functional teams to deliver high-quality products. Responsibilities include designing, developing, and maintaining scalable systems. You will report to the VP of Engineering and lead a team of 5. Salary: Competitive salary based on experience.",0
