# phrase<TAB>weight  —  weighted signal of the phrase appearing in a scam posting
work from home	0.6
make money fast	1.5
guaranteed income	1.4
no experience needed	0.8
unlimited earning	1.3
weekly salary	0.5
immediate start	0.4
click here	0.9
limited time offer	1.0
urgent hiring	0.8
congratulations	1.0
you have been selected	1.2
secret shopper	1.4
wire transfer	1.5
crypto	0.7
bitcoin	0.9
commission based	0.5
processing payments	1.1
reshipping	1.5
money laundering	2.0
binary option	1.5
pyramid	1.5
multi level marketing	1.3
data entry from home	0.8
earn per day	0.7
earn weekly	0.6
no investment required	0.7
100% free	1.0
training fee	1.3
registration fee	1.4
advance payment	1.4
deposit required	1.3
send your resume via whatsapp	1.2
contact via telegram	1.2
personal bank account	1.5
act now	0.6
too good to be true	1.2
be your own boss	0.7
financial freedom	0.8
easy money	1.2
risk free	0.9
online survey	0.7
